indx,text
192,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2281183000.0, Total Non Current Assets is 2483196000.0, Current Liabilities is 1558010000.0, Total Non Current Liabilities Net Minority Interest is 1670996000.0, Stockholders Equity is 1535373000.0, Market Cap is 17312708608, Industry is Specialty Retail, Employees is 20000.0, City is Bolingbrook, EBITDA Margins is 0.16143, Profit Margins is 0.10684, Gross Margins is 0.42518002, Day High is 374.74,.
"
193,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2514777000.0, Total Non Current Assets is 2575192000.0, Current Liabilities is 1343713000.0, Total Non Current Liabilities Net Minority Interest is 1746707000.0, Stockholders Equity is 1999549000.0, Market Cap is 17312708608, Industry is Specialty Retail, Employees is 20000.0, City is Bolingbrook, EBITDA Margins is 0.16143, Profit Margins is 0.10684, Gross Margins is 0.42518002, Day High is 374.74,.
"
194,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2933000000.0, Total Non Current Assets is 22656000000.0, Current Liabilities is 3637000000.0, Total Non Current Liabilities Net Minority Interest is 13822000000.0, Stockholders Equity is 8130000000.0, Market Cap is 47503732736, Industry is Rental & Leasing Services, Employees is 26300.0, City is Stamford, EBITDA Margins is 0.30324, Profit Margins is 0.17125, Gross Margins is 0.4102, Day High is 738.675,.
"
195,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2723000000.0, Total Non Current Assets is 21460000000.0, Current Liabilities is 2445000000.0, Total Non Current Liabilities Net Minority Interest is 14676000000.0, Stockholders Equity is 7062000000.0, Market Cap is 47503732736, Industry is Rental & Leasing Services, Employees is 26300.0, City is Stamford, EBITDA Margins is 0.30324, Profit Margins is 0.17125, Gross Margins is 0.4102, Day High is 738.675,.
"
196,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2151000000.0, Total Non Current Assets is 18141000000.0, Current Liabilities is 2603000000.0, Total Non Current Liabilities Net Minority Interest is 11698000000.0, Stockholders Equity is 5991000000.0, Market Cap is 47503732736, Industry is Rental & Leasing Services, Employees is 26300.0, City is Stamford, EBITDA Margins is 0.30324, Profit Margins is 0.17125, Gross Margins is 0.4102, Day High is 738.675,.
"
197,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 9879000000.0, Total Non Current Assets is 16207000000.0, Current Liabilities is 6032000000.0, Total Non Current Liabilities Net Minority Interest is 11978000000.0, Stockholders Equity is 7758000000.0, Market Cap is 55827165184, Industry is Building Products & Equipment, Employees is 53000.0, City is Palm Beach Gardens, EBITDA Margins is 0.13378, Profit Margins is 0.14003, Gross Margins is 0.28301, Day High is 64.19,.
"
198,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 11407000000.0, Total Non Current Assets is 14765000000.0, Current Liabilities is 6627000000.0, Total Non Current Liabilities Net Minority Interest is 12451000000.0, Stockholders Equity is 6767000000.0, Market Cap is 55827165184, Industry is Building Products & Equipment, Employees is 53000.0, City is Palm Beach Gardens, EBITDA Margins is 0.13378, Profit Margins is 0.14003, Gross Margins is 0.28301, Day High is 64.19,.
"
199,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 8524000000.0, Total Non Current Assets is 16569000000.0, Current Liabilities is 5110000000.0, Total Non Current Liabilities Net Minority Interest is 13405000000.0, Stockholders Equity is 6252000000.0, Market Cap is 55827165184, Industry is Building Products & Equipment, Employees is 53000.0, City is Palm Beach Gardens, EBITDA Margins is 0.13378, Profit Margins is 0.14003, Gross Margins is 0.28301, Day High is 64.19,.
"
200,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3069300000.0, Total Non Current Assets is 13301000000.0, Current Liabilities is 3118600000.0, Total Non Current Liabilities Net Minority Interest is 6738100000.0, Stockholders Equity is 6513600000.0, Market Cap is 28380708864, Industry is Semiconductors, Employees is 22300.0, City is Chandler, EBITDA Margins is 0.35491002, Profit Margins is 0.14220001, Gross Margins is 0.60315, Day High is 53.5,.
"
201,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2452600000.0, Total Non Current Assets is 13746900000.0, Current Liabilities is 1399000000.0, Total Non Current Liabilities Net Minority Interest is 8905700000.0, Stockholders Equity is 5894800000.0, Market Cap is 28380708864, Industry is Semiconductors, Employees is 22300.0, City is Chandler, EBITDA Margins is 0.35491002, Profit Margins is 0.14220001, Gross Margins is 0.60315, Day High is 53.5,.
"
202,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2145200000.0, Total Non Current Assets is 14333600000.0, Current Liabilities is 2409600000.0, Total Non Current Liabilities Net Minority Interest is 8732100000.0, Stockholders Equity is 5337100000.0, Market Cap is 28380708864, Industry is Semiconductors, Employees is 22300.0, City is Chandler, EBITDA Margins is 0.35491002, Profit Margins is 0.14220001, Gross Margins is 0.60315, Day High is 53.5,.
"
203,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 31172800000.0, Total Non Current Assets is 1409600000.0, Current Liabilities is 2083500000.0, Total Non Current Liabilities Net Minority Interest is 7361000000.0, Stockholders Equity is 22696200000.0, Market Cap is 40780574720, Industry is Residential Construction, Employees is nan, City is Arlington, EBITDA Margins is 0.16855, Profit Margins is 0.12925, Gross Margins is 0.24572, Day High is 127.725,.
"
204,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 28800800000.0, Total Non Current Assets is 1550300000.0, Current Liabilities is 2192900000.0, Total Non Current Liabilities Net Minority Interest is 8372600000.0, Stockholders Equity is 19396300000.0, Market Cap is 40780574720, Industry is Residential Construction, Employees is nan, City is Arlington, EBITDA Margins is 0.16855, Profit Margins is 0.12925, Gross Margins is 0.24572, Day High is 127.725,.
"
205,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 23196700000.0, Total Non Current Assets is 819200000.0, Current Liabilities is 1802300000.0, Total Non Current Liabilities Net Minority Interest is 6997400000.0, Stockholders Equity is 14886500000.0, Market Cap is 40780574720, Industry is Residential Construction, Employees is nan, City is Arlington, EBITDA Margins is 0.16855, Profit Margins is 0.12925, Gross Margins is 0.24572, Day High is 127.725,.
"
206,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 10275000000.0, Total Non Current Assets is 26609000000.0, Current Liabilities is 6303000000.0, Total Non Current Liabilities Net Minority Interest is 13965000000.0, Stockholders Equity is 16616000000.0, Market Cap is 147481034752, Industry is Medical Devices, Employees is 52000.0, City is Portage, EBITDA Margins is 0.25908002, Profit Margins is 0.16337, Gross Margins is 0.63971, Day High is 388.565,.
"
207,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 10017000000.0, Total Non Current Assets is 24614000000.0, Current Liabilities is 4549000000.0, Total Non Current Liabilities Net Minority Interest is 15205000000.0, Stockholders Equity is 14877000000.0, Market Cap is 147481034752, Industry is Medical Devices, Employees is 52000.0, City is Portage, EBITDA Margins is 0.25908002, Profit Margins is 0.16337, Gross Margins is 0.63971, Day High is 388.565,.
"
208,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 9707000000.0, Total Non Current Assets is 24623000000.0, Current Liabilities is 5041000000.0, Total Non Current Liabilities Net Minority Interest is 16205000000.0, Stockholders Equity is 13084000000.0, Market Cap is 147481034752, Industry is Medical Devices, Employees is 52000.0, City is Portage, EBITDA Margins is 0.25908002, Profit Margins is 0.16337, Gross Margins is 0.63971, Day High is 388.565,.
"
209,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 16768000000.0, Total Non Current Assets is 51117000000.0, Current Liabilities is 6689000000.0, Total Non Current Liabilities Net Minority Interest is 5304000000.0, Stockholders Equity is 55892000000.0, Market Cap is 178657918976, Industry is Semiconductors, Employees is 26000.0, City is Santa Clara, EBITDA Margins is 0.18436001, Profit Margins is 0.07516, Gross Margins is 0.52122, Day High is 111.2,.
"
210,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 15019000000.0, Total Non Current Assets is 52561000000.0, Current Liabilities is 6369000000.0, Total Non Current Liabilities Net Minority Interest is 6461000000.0, Stockholders Equity is 54750000000.0, Market Cap is 178657918976, Industry is Semiconductors, Employees is 26000.0, City is Santa Clara, EBITDA Margins is 0.18436001, Profit Margins is 0.07516, Gross Margins is 0.52122, Day High is 111.2,.
"
211,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 8583000000.0, Total Non Current Assets is 3836000000.0, Current Liabilities is 4240000000.0, Total Non Current Liabilities Net Minority Interest is 682000000.0, Stockholders Equity is 7497000000.0, Market Cap is 178657918976, Industry is Semiconductors, Employees is 26000.0, City is Santa Clara, EBITDA Margins is 0.18436001, Profit Margins is 0.07516, Gross Margins is 0.52122, Day High is 111.2,.
"
212,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3988000000.0, Total Non Current Assets is 4619000000.0, Current Liabilities is 2224000000.0, Total Non Current Liabilities Net Minority Interest is 1712000000.0, Stockholders Equity is 3446000000.0, Market Cap is 9500093440, Industry is Medical Distribution, Employees is 26000.0, City is Melville, EBITDA Margins is 0.07377, Profit Margins is 0.025120001, Gross Margins is 0.31587, Day High is 77.02,.
"
213,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3844000000.0, Total Non Current Assets is 4637000000.0, Current Liabilities is 2307000000.0, Total Non Current Liabilities Net Minority Interest is 1498000000.0, Stockholders Equity is 3425000000.0, Market Cap is 9500093440, Industry is Medical Distribution, Employees is 26000.0, City is Melville, EBITDA Margins is 0.07377, Profit Margins is 0.025120001, Gross Margins is 0.31587, Day High is 77.02,.
"
214,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3791415000.0, Total Non Current Assets is 3981117000.0, Current Liabilities is 2283102000.0, Total Non Current Liabilities Net Minority Interest is 1177346000.0, Stockholders Equity is 3348172000.0, Market Cap is 9500093440, Industry is Medical Distribution, Employees is 26000.0, City is Melville, EBITDA Margins is 0.07377, Profit Margins is 0.025120001, Gross Margins is 0.31587, Day High is 77.02,.
"
215,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 14021000000.0, Total Non Current Assets is 13186000000.0, Current Liabilities is 2985000000.0, Total Non Current Liabilities Net Minority Interest is 9645000000.0, Stockholders Equity is 14577000000.0, Market Cap is 162858106880, Industry is Semiconductors, Employees is 34000.0, City is Dallas, EBITDA Margins is 0.43899, Profit Margins is 0.31601998, Gross Margins is 0.58628, Day High is 178.77,.
"
216,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 13685000000.0, Total Non Current Assets is 10991000000.0, Current Liabilities is 2569000000.0, Total Non Current Liabilities Net Minority Interest is 8774000000.0, Stockholders Equity is 13333000000.0, Market Cap is 162858106880, Industry is Semiconductors, Employees is 34000.0, City is Dallas, EBITDA Margins is 0.43899, Profit Margins is 0.31601998, Gross Margins is 0.58628, Day High is 178.77,.
"
217,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 10239000000.0, Total Non Current Assets is 9112000000.0, Current Liabilities is 2390000000.0, Total Non Current Liabilities Net Minority Interest is 7774000000.0, Stockholders Equity is 9187000000.0, Market Cap is 162858106880, Industry is Semiconductors, Employees is 34000.0, City is Dallas, EBITDA Margins is 0.43899, Profit Margins is 0.31601998, Gross Margins is 0.58628, Day High is 178.77,.
"
218,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 734245000.0, Total Non Current Assets is 19723519000.0, Current Liabilities is 659110000.0, Total Non Current Liabilities Net Minority Interest is 8542416000.0, Stockholders Equity is 11253476000.0, Market Cap is 31087478784, Industry is REIT - Residential, Employees is 2978.0, City is Arlington, EBITDA Margins is 0.61792, Profit Margins is 0.35606998, Gross Margins is 0.64382005, Day High is 218.535,.
"
219,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 577545000.0, Total Non Current Assets is 19324471000.0, Current Liabilities is 635724000.0, Total Non Current Liabilities Net Minority Interest is 8329831000.0, Stockholders Equity is 10932527000.0, Market Cap is 31087478784, Industry is REIT - Residential, Employees is 2978.0, City is Arlington, EBITDA Margins is 0.61792, Profit Margins is 0.35606998, Gross Margins is 0.64382005, Day High is 218.535,.
"
220,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 344343000.0, Total Non Current Assets is 18854801000.0, Current Liabilities is 642549000.0, Total Non Current Liabilities Net Minority Interest is 7801744000.0, Stockholders Equity is 10751583000.0, Market Cap is 31087478784, Industry is REIT - Residential, Employees is 2978.0, City is Arlington, EBITDA Margins is 0.61792, Profit Margins is 0.35606998, Gross Margins is 0.64382005, Day High is 218.535,.
"
221,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3076147000.0, Total Non Current Assets is 34817086000.0, Current Liabilities is 1168092000.0, Total Non Current Liabilities Net Minority Interest is 15331145000.0, Stockholders Equity is 20294814000.0, Market Cap is 91610144768, Industry is REIT - Healthcare Facilities, Employees is 533.0, City is Toledo, EBITDA Margins is 0.38787997, Profit Margins is 0.121190004, Gross Margins is 0.41120997, Day High is 147.27,.
"
222,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2584532000.0, Total Non Current Assets is 32325793000.0, Current Liabilities is 1340530000.0, Total Non Current Liabilities Net Minority Interest is 14571922000.0, Stockholders Equity is 17636001000.0, Market Cap is 91610144768, Industry is REIT - Healthcare Facilities, Employees is 533.0, City is Toledo, EBITDA Margins is 0.38787997, Profit Margins is 0.121190004, Gross Margins is 0.41120997, Day High is 147.27,.
"
223,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3437512000.0, Total Non Current Assets is 29046130000.0, Current Liabilities is 622752000.0, Total Non Current Liabilities Net Minority Interest is 14635828000.0, Stockholders Equity is 15972719000.0, Market Cap is 91610144768, Industry is REIT - Healthcare Facilities, Employees is 533.0, City is Toledo, EBITDA Margins is 0.38787997, Profit Margins is 0.121190004, Gross Margins is 0.41120997, Day High is 147.27,.
"
224,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3187700000.0, Total Non Current Assets is 38684400000.0, Current Liabilities is 4611000000.0, Total Non Current Liabilities Net Minority Interest is 25644500000.0, Stockholders Equity is 11407300000.0, Market Cap is 32486057984, Industry is Utilities - Regulated Electric, Employees is 7000.0, City is Milwaukee, EBITDA Margins is 0.4089, Profit Margins is 0.15143, Gross Margins is 0.43073002, Day High is 102.39,.
"
225,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2656700000.0, Total Non Current Assets is 36331800000.0, Current Liabilities is 3753000000.0, Total Non Current Liabilities Net Minority Interest is 24122200000.0, Stockholders Equity is 10943600000.0, Market Cap is 32486057984, Industry is Utilities - Regulated Electric, Employees is 7000.0, City is Milwaukee, EBITDA Margins is 0.4089, Profit Margins is 0.15143, Gross Margins is 0.43073002, Day High is 102.39,.
"
226,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2083000000.0, Total Non Current Assets is 34945100000.0, Current Liabilities is 4148100000.0, Total Non Current Liabilities Net Minority Interest is 22217500000.0, Stockholders Equity is 10500100000.0, Market Cap is 32486057984, Industry is Utilities - Regulated Electric, Employees is 7000.0, City is Milwaukee, EBITDA Margins is 0.4089, Profit Margins is 0.15143, Gross Margins is 0.43073002, Day High is 102.39,.
"
227,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 23073000000.0, Total Non Current Assets is 18109000000.0, Current Liabilities is 6563000000.0, Total Non Current Liabilities Net Minority Interest is 12518000000.0, Stockholders Equity is 22101000000.0, Market Cap is 3210761469952, Industry is Semiconductors, Employees is 29600.0, City is Santa Clara, EBITDA Margins is 0.6353, Profit Margins is 0.55041003, Gross Margins is 0.75975996, Day High is 132.24,.
"
228,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 28829000000.0, Total Non Current Assets is 15358000000.0, Current Liabilities is 4335000000.0, Total Non Current Liabilities Net Minority Interest is 13240000000.0, Stockholders Equity is 26612000000.0, Market Cap is 3210761469952, Industry is Semiconductors, Employees is 29600.0, City is Santa Clara, EBITDA Margins is 0.6353, Profit Margins is 0.55041003, Gross Margins is 0.75975996, Day High is 132.24,.
"
229,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 16055000000.0, Total Non Current Assets is 12736000000.0, Current Liabilities is 3925000000.0, Total Non Current Liabilities Net Minority Interest is 7973000000.0, Stockholders Equity is 16893000000.0, Market Cap is 3210761469952, Industry is Semiconductors, Employees is 29600.0, City is Santa Clara, EBITDA Margins is 0.6353, Profit Margins is 0.55041003, Gross Margins is 0.75975996, Day High is 132.24,.
"
230,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 84901000.0, Total Non Current Assets is 10953569000.0, Current Liabilities is 751799000.0, Total Non Current Liabilities Net Minority Interest is 5348526000.0, Stockholders Equity is 4098085000.0, Market Cap is 16015053824, Industry is REIT - Residential, Employees is 1397.0, City is Highlands Ranch, EBITDA Margins is 0.58967, Profit Margins is 0.07606, Gross Margins is 0.66214997, Day High is 42.58,.
"
231,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 55278000.0, Total Non Current Assets is 10719942000.0, Current Liabilities is 645745000.0, Total Non Current Liabilities Net Minority Interest is 5355729000.0, Stockholders Equity is 3442874000.0, Market Cap is 16015053824, Industry is REIT - Residential, Employees is 1397.0, City is Highlands Ranch, EBITDA Margins is 0.58967, Profit Margins is 0.07606, Gross Margins is 0.66214997, Day High is 42.58,.
"
232,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 182163000.0, Total Non Current Assets is 9455370000.0, Current Liabilities is 568532000.0, Total Non Current Liabilities Net Minority Interest is 4954116000.0, Stockholders Equity is 3234200000.0, Market Cap is 16015053824, Industry is REIT - Residential, Employees is 1397.0, City is Highlands Ranch, EBITDA Margins is 0.58967, Profit Margins is 0.07606, Gross Margins is 0.66214997, Day High is 42.58,.
"
233,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 8154692000.0, Total Non Current Assets is 37537514000.0, Current Liabilities is 4515892000.0, Total Non Current Liabilities Net Minority Interest is 35807841000.0, Stockholders Equity is 4831529000.0, Market Cap is 10212482048, Industry is Resorts & Casinos, Employees is 58000.0, City is Las Vegas, EBITDA Margins is 0.14848, Profit Margins is 0.052410003, Gross Margins is 0.45844, Day High is 34.664,.
"
234,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 6416182000.0, Total Non Current Assets is 34482934000.0, Current Liabilities is 3442264000.0, Total Non Current Liabilities Net Minority Interest is 26332539000.0, Stockholders Equity is 6070645000.0, Market Cap is 10212482048, Industry is Resorts & Casinos, Employees is 58000.0, City is Las Vegas, EBITDA Margins is 0.14848, Profit Margins is 0.052410003, Gross Margins is 0.45844, Day High is 34.664,.
"
235,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5950659000.0, Total Non Current Assets is 30544275000.0, Current Liabilities is 1856583000.0, Total Non Current Liabilities Net Minority Interest is 23391901000.0, Stockholders Equity is 6504726000.0, Market Cap is 10212482048, Industry is Resorts & Casinos, Employees is 58000.0, City is Las Vegas, EBITDA Margins is 0.14848, Profit Margins is 0.052410003, Gross Margins is 0.45844, Day High is 34.664,.
"
236,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 4327000000.0, Total Non Current Assets is 14189000000.0, Current Liabilities is 3467000000.0, Total Non Current Liabilities Net Minority Interest is 4902000000.0, Stockholders Equity is 10102000000.0, Market Cap is 32176949248, Industry is Railroads, Employees is 29000.0, City is Pittsburgh, EBITDA Margins is 0.20426, Profit Margins is 0.10252, Gross Margins is 0.32575, Day High is 192.91,.
"
237,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3832000000.0, Total Non Current Assets is 14622000000.0, Current Liabilities is 2910000000.0, Total Non Current Liabilities Net Minority Interest is 5305000000.0, Stockholders Equity is 10201000000.0, Market Cap is 32176949248, Industry is Railroads, Employees is 29000.0, City is Pittsburgh, EBITDA Margins is 0.20426, Profit Margins is 0.10252, Gross Margins is 0.32575, Day High is 192.91,.
"
238,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3880000000.0, Total Non Current Assets is 14574000000.0, Current Liabilities is 3226000000.0, Total Non Current Liabilities Net Minority Interest is 5075000000.0, Stockholders Equity is 10123000000.0, Market Cap is 32176949248, Industry is Railroads, Employees is 29000.0, City is Pittsburgh, EBITDA Margins is 0.20426, Profit Margins is 0.10252, Gross Margins is 0.32575, Day High is 192.91,.
"
239,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 109275000000.0, Total Non Current Assets is 27737000000.0, Current Liabilities is 95827000000.0, Total Non Current Liabilities Net Minority Interest is 58413000000.0, Stockholders Equity is -17233000000.0, Market Cap is 136145928192, Industry is Aerospace & Defense, Employees is 171000.0, City is Arlington, EBITDA Margins is -0.05445, Profit Margins is -0.10880999, Gross Margins is 0.03618, Day High is 181.77,.
"
240,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 109523000000.0, Total Non Current Assets is 27577000000.0, Current Liabilities is 90052000000.0, Total Non Current Liabilities Net Minority Interest is 62896000000.0, Stockholders Equity is -15883000000.0, Market Cap is 136145928192, Industry is Aerospace & Defense, Employees is 171000.0, City is Arlington, EBITDA Margins is -0.05445, Profit Margins is -0.10880999, Gross Margins is 0.03618, Day High is 181.77,.
"
241,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 108666000000.0, Total Non Current Assets is 29886000000.0, Current Liabilities is 81992000000.0, Total Non Current Liabilities Net Minority Interest is 71406000000.0, Stockholders Equity is -14999000000.0, Market Cap is 136145928192, Industry is Aerospace & Defense, Employees is 171000.0, City is Arlington, EBITDA Margins is -0.05445, Profit Margins is -0.10880999, Gross Margins is 0.03618, Day High is 181.77,.
"
242,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 133872000000.0, Total Non Current Assets is 123345000000.0, Current Liabilities is 184331000000.0, Total Non Current Liabilities Net Minority Interest is 57488000000.0, Stockholders Equity is 6640000000.0, Market Cap is 88340144128, Industry is Asset Management, Employees is 5053.0, City is New York, EBITDA Margins is nan, Profit Margins is 0.18462, Gross Margins is 0.39786997, Day High is 157.24,.
"
243,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 2578000000.0, Total Non Current Assets is 27924000000.0, Current Liabilities is 4107000000.0, Total Non Current Liabilities Net Minority Interest is 14431000000.0, Stockholders Equity is 3789000000.0, Market Cap is 88340144128, Industry is Asset Management, Employees is 5053.0, City is New York, EBITDA Margins is nan, Profit Margins is 0.18462, Gross Margins is 0.39786997, Day High is 157.24,.
"
244,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 3023763000.0, Total Non Current Assets is 20645321000.0, Current Liabilities is 1642027000.0, Total Non Current Liabilities Net Minority Interest is 15731092000.0, Stockholders Equity is 1429315000.0, Market Cap is 88340144128, Industry is Asset Management, Employees is 5053.0, City is New York, EBITDA Margins is nan, Profit Margins is 0.18462, Gross Margins is 0.39786997, Day High is 157.24,.
"
245,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 7777000000.0, Total Non Current Assets is 9610000000.0, Current Liabilities is 7365000000.0, Total Non Current Liabilities Net Minority Interest is 2394000000.0, Stockholders Equity is 7628000000.0, Market Cap is 204883640320, Industry is Software - Application, Employees is 22668.0, City is Santa Clara, EBITDA Margins is 0.17431, Profit Margins is 0.12768, Gross Margins is 0.79243, Day High is 998.41,.
"
246,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 6654000000.0, Total Non Current Assets is 6645000000.0, Current Liabilities is 6005000000.0, Total Non Current Liabilities Net Minority Interest is 2262000000.0, Stockholders Equity is 5032000000.0, Market Cap is 204883640320, Industry is Software - Application, Employees is 22668.0, City is Santa Clara, EBITDA Margins is 0.17431, Profit Margins is 0.12768, Gross Margins is 0.79243, Day High is 998.41,.
"
247,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 5220000000.0, Total Non Current Assets is 5578000000.0, Current Liabilities is 4949000000.0, Total Non Current Liabilities Net Minority Interest is 2154000000.0, Stockholders Equity is 3695000000.0, Market Cap is 204883640320, Industry is Software - Application, Employees is 22668.0, City is Santa Clara, EBITDA Margins is 0.17431, Profit Margins is 0.12768, Gross Margins is 0.79243, Day High is 998.41,.
"
248,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 6400000000.0, Total Non Current Assets is 3717000000.0, Current Liabilities is 6479000000.0, Total Non Current Liabilities Net Minority Interest is 8358000000.0, Stockholders Equity is -4924000000.0, Market Cap is 38101508096, Industry is Specialty Industrial Machinery, Employees is 71000.0, City is Farmington, EBITDA Margins is 0.17647, Profit Margins is 0.11481, Gross Margins is 0.30001, Day High is 96.68,.
"
249,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 6143000000.0, Total Non Current Assets is 3676000000.0, Current Liabilities is 6843000000.0, Total Non Current Liabilities Net Minority Interest is 7640000000.0, Stockholders Equity is -4870000000.0, Market Cap is 38101508096, Industry is Specialty Industrial Machinery, Employees is 71000.0, City is Farmington, EBITDA Margins is 0.17647, Profit Margins is 0.11481, Gross Margins is 0.30001, Day High is 96.68,.
"
250,"As a financial analyst, you are tasked with estimating next year's balance sheet items for a company, based on the current year's performance of the following items: Current Assets is 8261000000.0, Total Non Current Assets is 4018000000.0, Current Liabilities is 6247000000.0, Total Non Current Liabilities Net Minority Interest is 9016000000.0, Stockholders Equity is -3625000000.0, Market Cap is 38101508096, Industry is Specialty Industrial Machinery, Employees is 71000.0, City is Farmington, EBITDA Margins is 0.17647, Profit Margins is 0.11481, Gross Margins is 0.30001, Day High is 96.68,.
"
